"sim_id","variable","value","TB_compartment","DR_compartment","HIV_compartment","G_compartment"
34,"N_2_1_1_2",0,"2","1","1","2"
34,"N_2_1_2_1",0.660041577575697,"2","1","2","1"
34,"N_2_1_2_2",1.26797866805081,"2","1","2","2"
34,"N_2_1_3_1",0.319064459669547,"2","1","3","1"
34,"N_2_1_3_2",0.454348592431847,"2","1","3","2"
34,"N_2_1_4_1",0,"2","1","4","1"
34,"N_2_1_4_2",0,"2","1","4","2"
34,"N_2_2_1_1",0,"2","2","1","1"
34,"N_2_2_1_2",0,"2","2","1","2"
34,"N_2_2_2_1",0,"2","2","2","1"
34,"N_2_2_2_2",0,"2","2","2","2"
34,"N_2_2_3_1",0,"2","2","3","1"
34,"N_2_2_3_2",0,"2","2","3","2"
34,"N_2_2_4_1",0,"2","2","4","1"
34,"N_2_2_4_2",0,"2","2","4","2"
34,"N_3_1_1_1",1856.02231703874,"3","1","1","1"
34,"N_3_1_1_2",1881.26768478348,"3","1","1","2"
34,"N_3_1_2_1",55.8131423834147,"3","1","2","1"
34,"N_3_1_2_2",105.131216771776,"3","1","2","2"
34,"N_3_1_3_1",17.4094236499908,"3","1","3","1"
34,"N_3_1_3_2",24.7375714537499,"3","1","3","2"
34,"N_3_1_4_1",0,"3","1","4","1"
34,"N_3_1_4_2",0,"3","1","4","2"
34,"N_3_2_1_1",71.3113455144685,"3","2","1","1"
34,"N_3_2_1_2",72.2813129148377,"3","2","1","2"
34,"N_3_2_2_1",2.15030652094058,"3","2","2","1"
34,"N_3_2_2_2",4.05065584336437,"3","2","2","2"
34,"N_3_2_3_1",0.670897342354382,"3","2","3","1"
34,"N_3_2_3_2",0.953311853117961,"3","2","3","2"
34,"N_3_2_4_1",0,"3","2","4","1"
34,"N_3_2_4_2",0,"3","2","4","2"
34,"N_4_1_1_1",32328.3456017529,"4","1","1","1"
34,"N_4_1_1_2",32835.0122254337,"4","1","1","2"
34,"N_4_1_2_1",1159.53033071367,"4","1","2","1"
34,"N_4_1_2_2",2182.85555958954,"4","1","2","2"
34,"N_4_1_3_1",414.864403767424,"4","1","3","1"
34,"N_4_1_3_2",587.403080348974,"4","1","3","2"
34,"N_4_1_4_1",0,"4","1","4","1"
34,"N_4_1_4_2",0,"4","1","4","2"
34,"N_4_2_1_1",1242.02257545688,"4","2","1","1"
34,"N_4_2_1_2",1261.57578197917,"4","2","1","2"
34,"N_4_2_2_1",44.8860474557252,"4","2","2","1"
34,"N_4_2_2_2",84.5444290858487,"4","2","2","2"
34,"N_4_2_3_1",16.1706194314509,"4","2","3","1"
34,"N_4_2_3_2",22.9041050803745,"4","2","3","2"
34,"N_4_2_4_1",0,"4","2","4","1"
34,"N_4_2_4_2",0,"4","2","4","2"
34,"N_5_1_1_1",0,"5","1","1","1"
34,"N_5_1_1_2",0,"5","1","1","2"
34,"N_5_1_2_1",1.767948120782,"5","1","2","1"
34,"N_5_1_2_2",3.37357299413016,"5","1","2","2"
34,"N_5_1_3_1",0.72590615775875,"5","1","3","1"
34,"N_5_1_3_2",1.02959856886216,"5","1","3","2"
34,"N_5_1_4_1",0,"5","1","4","1"
34,"N_5_1_4_2",0,"5","1","4","2"
34,"N_5_2_1_1",0,"5","2","1","1"
34,"N_5_2_1_2",0,"5","2","1","2"
34,"N_5_2_2_1",0,"5","2","2","1"
34,"N_5_2_2_2",0,"5","2","2","2"
34,"N_5_2_3_1",0,"5","2","3","1"
34,"N_5_2_3_2",0,"5","2","3","2"
34,"N_5_2_4_1",0,"5","2","4","1"
34,"N_5_2_4_2",0,"5","2","4","2"
34,"N_6_1_1_1",201.092803812136,"6","1","1","1"
34,"N_6_1_1_2",203.831003287985,"6","1","1","2"
34,"N_6_1_2_1",25.1722963206622,"6","1","2","1"
34,"N_6_1_2_2",48.1887446502546,"6","1","2","2"
34,"N_6_1_3_1",16.9788162433566,"6","1","3","1"
34,"N_6_1_3_2",24.1381345038777,"6","1","3","2"
34,"N_6_1_4_1",0,"6","1","4","1"
34,"N_6_1_4_2",0,"6","1","4","2"
34,"N_6_2_1_1",7.72616687019065,"6","2","1","1"
34,"N_6_2_1_2",7.83151667453062,"6","2","1","2"
34,"N_6_2_2_1",0.96229186922591,"6","2","2","1"
34,"N_6_2_2_2",1.8416506190285,"6","2","2","2"
34,"N_6_2_3_1",0.64563934930264,"6","2","3","1"
34,"N_6_2_3_2",0.917737645550487,"6","2","3","2"
34,"N_6_2_4_1",0,"6","2","4","1"
34,"N_6_2_4_2",0,"6","2","4","2"
34,"N_7_1_1_1",828.293517569346,"7","1","1","1"
34,"N_7_1_1_2",841.744671582599,"7","1","1","2"
34,"N_7_1_2_1",62.7567096768271,"7","1","2","1"
34,"N_7_1_2_2",122.712943023854,"7","1","2","2"
34,"N_7_1_3_1",46.0898148033127,"7","1","3","1"
34,"N_7_1_3_2",66.034258021913,"7","1","3","2"
34,"N_7_1_4_1",0,"7","1","4","1"
34,"N_7_1_4_2",0,"7","1","4","2"
34,"N_7_2_1_1",31.8235562664262,"7","2","1","1"
34,"N_7_2_1_2",32.3412007021556,"7","2","1","2"
34,"N_7_2_2_1",2.40385141345452,"7","2","2","1"
34,"N_7_2_2_2",4.69942979482274,"7","2","2","2"
34,"N_7_2_3_1",1.75844117568013,"7","2","3","1"
34,"N_7_2_3_2",2.51916245632132,"7","2","3","2"
34,"N_7_2_4_1",0,"7","2","4","1"
34,"N_7_2_4_2",0,"7","2","4","2"
34,"N_8_1_1_1",0,"8","1","1","1"
34,"N_8_1_1_2",0,"8","1","1","2"
34,"N_8_1_2_1",6.88292521290453,"8","1","2","1"
34,"N_8_1_2_2",13.8849575496496,"8","1","2","2"
34,"N_8_1_3_1",4.83715032520818,"8","1","3","1"
34,"N_8_1_3_2",7.00836225199075,"8","1","3","2"
34,"N_8_1_4_1",0,"8","1","4","1"
34,"N_8_1_4_2",0,"8","1","4","2"
34,"N_8_2_1_1",0,"8","2","1","1"
34,"N_8_2_1_2",0,"8","2","1","2"
34,"N_8_2_2_1",0,"8","2","2","1"
34,"N_8_2_2_2",0,"8","2","2","2"
34,"N_8_2_3_1",0,"8","2","3","1"
34,"N_8_2_3_2",0,"8","2","3","2"
34,"N_8_2_4_1",0,"8","2","4","1"
34,"N_8_2_4_2",0,"8","2","4","2"
35,"N_1_1_1_1",9675.13559382269,"1","1","1","1"
35,"N_1_1_1_2",9747.4267736834,"1","1","1","2"
35,"N_1_1_2_1",431.640504760571,"1","1","2","1"
35,"N_1_1_2_2",817.356144735716,"1","1","2","2"
35,"N_1_1_3_1",178.304181044094,"1","1","3","1"
35,"N_1_1_3_2",253.506642975697,"1","1","3","2"
35,"N_1_1_4_1",0,"1","1","4","1"
35,"N_1_1_4_2",0,"1","1","4","2"
35,"N_1_2_1_1",0,"1","2","1","1"
35,"N_1_2_1_2",0,"1","2","1","2"
35,"N_1_2_2_1",0,"1","2","2","1"
35,"N_1_2_2_2",0,"1","2","2","2"
35,"N_1_2_3_1",0,"1","2","3","1"
35,"N_1_2_3_2",0,"1","2","3","2"
35,"N_1_2_4_1",0,"1","2","4","1"
35,"N_1_2_4_2",0,"1","2","4","2"
35,"N_2_1_1_1",0,"2","1","1","1"
35,"N_2_1_1_2",0,"2","1","1","2"
35,"N_2_1_2_1",0.660041577575697,"2","1","2","1"
35,"N_2_1_2_2",1.26797866805081,"2","1","2","2"
35,"N_2_1_3_1",0.319064459669547,"2","1","3","1"
35,"N_2_1_3_2",0.454348592431847,"2","1","3","2"
35,"N_2_1_4_1",0,"2","1","4","1"
35,"N_2_1_4_2",0,"2","1","4","2"
35,"N_2_2_1_1",0,"2","2","1","1"
35,"N_2_2_1_2",0,"2","2","1","2"
35,"N_2_2_2_1",0,"2","2","2","1"
35,"N_2_2_2_2",0,"2","2","2","2"
35,"N_2_2_3_1",0,"2","2","3","1"
35,"N_2_2_3_2",0,"2","2","3","2"
35,"N_2_2_4_1",0,"2","2","4","1"
35,"N_2_2_4_2",0,"2","2","4","2"
35,"N_3_1_1_1",1856.02231703874,"3","1","1","1"
35,"N_3_1_1_2",1881.26768478348,"3","1","1","2"
35,"N_3_1_2_1",55.8131423834147,"3","1","2","1"
35,"N_3_1_2_2",105.131216771776,"3","1","2","2"
35,"N_3_1_3_1",17.4094236499908,"3","1","3","1"
35,"N_3_1_3_2",24.7375714537499,"3","1","3","2"
35,"N_3_1_4_1",0,"3","1","4","1"
35,"N_3_1_4_2",0,"3","1","4","2"
35,"N_3_2_1_1",71.3113455144685,"3","2","1","1"
35,"N_3_2_1_2",72.2813129148377,"3","2","1","2"
35,"N_3_2_2_1",2.15030652094058,"3","2","2","1"
35,"N_3_2_2_2",4.05065584336437,"3","2","2","2"
35,"N_3_2_3_1",0.670897342354382,"3","2","3","1"
35,"N_3_2_3_2",0.953311853117961,"3","2","3","2"
35,"N_3_2_4_1",0,"3","2","4","1"
35,"N_3_2_4_2",0,"3","2","4","2"
35,"N_4_1_1_1",32328.3456017529,"4","1","1","1"
35,"N_4_1_1_2",32835.0122254337,"4","1","1","2"
35,"N_4_1_2_1",1159.53033071367,"4","1","2","1"
35,"N_4_1_2_2",2182.85555958954,"4","1","2","2"
35,"N_4_1_3_1",414.864403767424,"4","1","3","1"
35,"N_4_1_3_2",587.403080348974,"4","1","3","2"
35,"N_4_1_4_1",0,"4","1","4","1"
35,"N_4_1_4_2",0,"4","1","4","2"
35,"N_4_2_1_1",1242.02257545688,"4","2","1","1"
35,"N_4_2_1_2",1261.57578197917,"4","2","1","2"
35,"N_4_2_2_1",44.8860474557252,"4","2","2","1"
35,"N_4_2_2_2",84.5444290858487,"4","2","2","2"
35,"N_4_2_3_1",16.1706194314509,"4","2","3","1"
35,"N_4_2_3_2",22.9041050803745,"4","2","3","2"
35,"N_4_2_4_1",0,"4","2","4","1"
35,"N_4_2_4_2",0,"4","2","4","2"
35,"N_5_1_1_1",0,"5","1","1","1"
35,"N_5_1_1_2",0,"5","1","1","2"
35,"N_5_1_2_1",1.767948120782,"5","1","2","1"
35,"N_5_1_2_2",3.37357299413016,"5","1","2","2"
35,"N_5_1_3_1",0.72590615775875,"5","1","3","1"
35,"N_5_1_3_2",1.02959856886216,"5","1","3","2"
35,"N_5_1_4_1",0,"5","1","4","1"
35,"N_5_1_4_2",0,"5","1","4","2"
35,"N_5_2_1_1",0,"5","2","1","1"
35,"N_5_2_1_2",0,"5","2","1","2"
35,"N_5_2_2_1",0,"5","2","2","1"
35,"N_5_2_2_2",0,"5","2","2","2"
35,"N_5_2_3_1",0,"5","2","3","1"
35,"N_5_2_3_2",0,"5","2","3","2"
35,"N_5_2_4_1",0,"5","2","4","1"
35,"N_5_2_4_2",0,"5","2","4","2"
35,"N_6_1_1_1",201.092803812136,"6","1","1","1"
35,"N_6_1_1_2",203.831003287985,"6","1","1","2"
35,"N_6_1_2_1",25.1722963206622,"6","1","2","1"
35,"N_6_1_2_2",48.1887446502546,"6","1","2","2"
35,"N_6_1_3_1",16.9788162433566,"6","1","3","1"
35,"N_6_1_3_2",24.1381345038777,"6","1","3","2"
35,"N_6_1_4_1",0,"6","1","4","1"
35,"N_6_1_4_2",0,"6","1","4","2"
35,"N_6_2_1_1",7.72616687019065,"6","2","1","1"
35,"N_6_2_1_2",7.83151667453062,"6","2","1","2"
35,"N_6_2_2_1",0.96229186922591,"6","2","2","1"
35,"N_6_2_2_2",1.8416506190285,"6","2","2","2"
35,"N_6_2_3_1",0.64563934930264,"6","2","3","1"
35,"N_6_2_3_2",0.917737645550487,"6","2","3","2"
35,"N_6_2_4_1",0,"6","2","4","1"
35,"N_6_2_4_2",0,"6","2","4","2"
35,"N_7_1_1_1",828.293517569346,"7","1","1","1"
35,"N_7_1_1_2",841.744671582599,"7","1","1","2"
35,"N_7_1_2_1",62.7567096768271,"7","1","2","1"
35,"N_7_1_2_2",122.712943023854,"7","1","2","2"
35,"N_7_1_3_1",46.0898148033127,"7","1","3","1"
35,"N_7_1_3_2",66.034258021913,"7","1","3","2"
35,"N_7_1_4_1",0,"7","1","4","1"
35,"N_7_1_4_2",0,"7","1","4","2"
35,"N_7_2_1_1",31.8235562664262,"7","2","1","1"
35,"N_7_2_1_2",32.3412007021556,"7","2","1","2"
35,"N_7_2_2_1",2.40385141345452,"7","2","2","1"
35,"N_7_2_2_2",4.69942979482274,"7","2","2","2"
35,"N_7_2_3_1",1.75844117568013,"7","2","3","1"
35,"N_7_2_3_2",2.51916245632132,"7","2","3","2"
35,"N_7_2_4_1",0,"7","2","4","1"
35,"N_7_2_4_2",0,"7","2","4","2"
35,"N_8_1_1_1",0,"8","1","1","1"
35,"N_8_1_1_2",0,"8","1","1","2"
35,"N_8_1_2_1",6.88292521290453,"8","1","2","1"
35,"N_8_1_2_2",13.8849575496496,"8","1","2","2"
35,"N_8_1_3_1",4.83715032520818,"8","1","3","1"
35,"N_8_1_3_2",7.00836225199075,"8","1","3","2"
35,"N_8_1_4_1",0,"8","1","4","1"
35,"N_8_1_4_2",0,"8","1","4","2"
35,"N_8_2_1_1",0,"8","2","1","1"
35,"N_8_2_1_2",0,"8","2","1","2"
35,"N_8_2_2_1",0,"8","2","2","1"
35,"N_8_2_2_2",0,"8","2","2","2"
35,"N_8_2_3_1",0,"8","2","3","1"
35,"N_8_2_3_2",0,"8","2","3","2"
35,"N_8_2_4_1",0,"8","2","4","1"
35,"N_8_2_4_2",0,"8","2","4","2"
36,"N_1_1_1_1",9675.13559382269,"1","1","1","1"
36,"N_1_1_1_2",9747.4267736834,"1","1","1","2"
36,"N_1_1_2_1",431.640504760571,"1","1","2","1"
36,"N_1_1_2_2",817.356144735716,"1","1","2","2"
36,"N_1_1_3_1",178.304181044094,"1","1","3","1"
36,"N_1_1_3_2",253.506642975697,"1","1","3","2"
36,"N_1_1_4_1",0,"1","1","4","1"
36,"N_1_1_4_2",0,"1","1","4","2"
36,"N_1_2_1_1",0,"1","2","1","1"
36,"N_1_2_1_2",0,"1","2","1","2"
36,"N_1_2_2_1",0,"1","2","2","1"
36,"N_1_2_2_2",0,"1","2","2","2"
36,"N_1_2_3_1",0,"1","2","3","1"
36,"N_1_2_3_2",0,"1","2","3","2"
36,"N_1_2_4_1",0,"1","2","4","1"
36,"N_1_2_4_2",0,"1","2","4","2"
36,"N_2_1_1_1",0,"2","1","1","1"
36,"N_2_1_1_2",0,"2","1","1","2"
36,"N_2_1_2_1",0.660041577575697,"2","1","2","1"
36,"N_2_1_2_2",1.26797866805081,"2","1","2","2"
36,"N_2_1_3_1",0.319064459669547,"2","1","3","1"
36,"N_2_1_3_2",0.454348592431847,"2","1","3","2"
36,"N_2_1_4_1",0,"2","1","4","1"
36,"N_2_1_4_2",0,"2","1","4","2"
36,"N_2_2_1_1",0,"2","2","1","1"
36,"N_2_2_1_2",0,"2","2","1","2"
36,"N_2_2_2_1",0,"2","2","2","1"
36,"N_2_2_2_2",0,"2","2","2","2"
36,"N_2_2_3_1",0,"2","2","3","1"
36,"N_2_2_3_2",0,"2","2","3","2"
36,"N_2_2_4_1",0,"2","2","4","1"
36,"N_2_2_4_2",0,"2","2","4","2"
36,"N_3_1_1_1",1856.02231703874,"3","1","1","1"
36,"N_3_1_1_2",1881.26768478348,"3","1","1","2"
36,"N_3_1_2_1",55.8131423834147,"3","1","2","1"
36,"N_3_1_2_2",105.131216771776,"3","1","2","2"
36,"N_3_1_3_1",17.4094236499908,"3","1","3","1"
36,"N_3_1_3_2",24.7375714537499,"3","1","3","2"
36,"N_3_1_4_1",0,"3","1","4","1"
36,"N_3_1_4_2",0,"3","1","4","2"
36,"N_3_2_1_1",71.3113455144685,"3","2","1","1"
36,"N_3_2_1_2",72.2813129148377,"3","2","1","2"
36,"N_3_2_2_1",2.15030652094058,"3","2","2","1"
36,"N_3_2_2_2",4.05065584336437,"3","2","2","2"
36,"N_3_2_3_1",0.670897342354382,"3","2","3","1"
36,"N_3_2_3_2",0.953311853117961,"3","2","3","2"
36,"N_3_2_4_1",0,"3","2","4","1"
36,"N_3_2_4_2",0,"3","2","4","2"
36,"N_4_1_1_1",32328.3456017529,"4","1","1","1"
36,"N_4_1_1_2",32835.0122254337,"4","1","1","2"
36,"N_4_1_2_1",1159.53033071367,"4","1","2","1"
36,"N_4_1_2_2",2182.85555958954,"4","1","2","2"
36,"N_4_1_3_1",414.864403767424,"4","1","3","1"
36,"N_4_1_3_2",587.403080348974,"4","1","3","2"
36,"N_4_1_4_1",0,"4","1","4","1"
36,"N_4_1_4_2",0,"4","1","4","2"
36,"N_4_2_1_1",1242.02257545688,"4","2","1","1"
36,"N_4_2_1_2",1261.57578197917,"4","2","1","2"
36,"N_4_2_2_1",44.8860474557252,"4","2","2","1"
36,"N_4_2_2_2",84.5444290858487,"4","2","2","2"
36,"N_4_2_3_1",16.1706194314509,"4","2","3","1"
36,"N_4_2_3_2",22.9041050803745,"4","2","3","2"
36,"N_4_2_4_1",0,"4","2","4","1"
36,"N_4_2_4_2",0,"4","2","4","2"
36,"N_5_1_1_1",0,"5","1","1","1"
36,"N_5_1_1_2",0,"5","1","1","2"
36,"N_5_1_2_1",1.767948120782,"5","1","2","1"
36,"N_5_1_2_2",3.37357299413016,"5","1","2","2"
36,"N_5_1_3_1",0.72590615775875,"5","1","3","1"
36,"N_5_1_3_2",1.02959856886216,"5","1","3","2"
36,"N_5_1_4_1",0,"5","1","4","1"
36,"N_5_1_4_2",0,"5","1","4","2"
36,"N_5_2_1_1",0,"5","2","1","1"
36,"N_5_2_1_2",0,"5","2","1","2"
36,"N_5_2_2_1",0,"5","2","2","1"
36,"N_5_2_2_2",0,"5","2","2","2"
36,"N_5_2_3_1",0,"5","2","3","1"
36,"N_5_2_3_2",0,"5","2","3","2"
36,"N_5_2_4_1",0,"5","2","4","1"
36,"N_5_2_4_2",0,"5","2","4","2"
36,"N_6_1_1_1",201.092803812136,"6","1","1","1"
36,"N_6_1_1_2",203.831003287985,"6","1","1","2"
36,"N_6_1_2_1",25.1722963206622,"6","1","2","1"
36,"N_6_1_2_2",48.1887446502546,"6","1","2","2"
36,"N_6_1_3_1",16.9788162433566,"6","1","3","1"
36,"N_6_1_3_2",24.1381345038777,"6","1","3","2"
36,"N_6_1_4_1",0,"6","1","4","1"
36,"N_6_1_4_2",0,"6","1","4","2"
36,"N_6_2_1_1",7.72616687019065,"6","2","1","1"
36,"N_6_2_1_2",7.83151667453062,"6","2","1","2"
36,"N_6_2_2_1",0.96229186922591,"6","2","2","1"
36,"N_6_2_2_2",1.8416506190285,"6","2","2","2"
36,"N_6_2_3_1",0.64563934930264,"6","2","3","1"
36,"N_6_2_3_2",0.917737645550487,"6","2","3","2"
36,"N_6_2_4_1",0,"6","2","4","1"
36,"N_6_2_4_2",0,"6","2","4","2"
36,"N_7_1_1_1",828.293517569346,"7","1","1","1"
36,"N_7_1_1_2",841.744671582599,"7","1","1","2"
36,"N_7_1_2_1",62.7567096768271,"7","1","2","1"
36,"N_7_1_2_2",122.712943023854,"7","1","2","2"
36,"N_7_1_3_1",46.0898148033127,"7","1","3","1"
36,"N_7_1_3_2",66.034258021913,"7","1","3","2"
36,"N_7_1_4_1",0,"7","1","4","1"
36,"N_7_1_4_2",0,"7","1","4","2"
36,"N_7_2_1_1",31.8235562664262,"7","2","1","1"
36,"N_7_2_1_2",32.3412007021556,"7","2","1","2"
36,"N_7_2_2_1",2.40385141345452,"7","2","2","1"
36,"N_7_2_2_2",4.69942979482274,"7","2","2","2"
36,"N_7_2_3_1",1.75844117568013,"7","2","3","1"
36,"N_7_2_3_2",2.51916245632132,"7","2","3","2"
36,"N_7_2_4_1",0,"7","2","4","1"
36,"N_7_2_4_2",0,"7","2","4","2"
36,"N_8_1_1_1",0,"8","1","1","1"
36,"N_8_1_1_2",0,"8","1","1","2"
36,"N_8_1_2_1",6.88292521290453,"8","1","2","1"
36,"N_8_1_2_2",13.8849575496496,"8","1","2","2"
36,"N_8_1_3_1",4.83715032520818,"8","1","3","1"
36,"N_8_1_3_2",7.00836225199075,"8","1","3","2"
36,"N_8_1_4_1",0,"8","1","4","1"
36,"N_8_1_4_2",0,"8","1","4","2"
36,"N_8_2_1_1",0,"8","2","1","1"
36,"N_8_2_1_2",0,"8","2","1","2"
36,"N_8_2_2_1",0,"8","2","2","1"
36,"N_8_2_2_2",0,"8","2","2","2"
36,"N_8_2_3_1",0,"8","2","3","1"
36,"N_8_2_3_2",0,"8","2","3","2"
36,"N_8_2_4_1",0,"8","2","4","1"
36,"N_8_2_4_2",0,"8","2","4","2"
37,"N_1_1_1_1",9675.13559382269,"1","1","1","1"
37,"N_1_1_1_2",9747.4267736834,"1","1","1","2"
37,"N_1_1_2_1",431.640504760571,"1","1","2","1"
37,"N_1_1_2_2",817.356144735716,"1","1","2","2"
37,"N_1_1_3_1",178.304181044094,"1","1","3","1"
37,"N_1_1_3_2",253.506642975697,"1","1","3","2"
37,"N_1_1_4_1",0,"1","1","4","1"
37,"N_1_1_4_2",0,"1","1","4","2"
37,"N_1_2_1_1",0,"1","2","1","1"
37,"N_1_2_1_2",0,"1","2","1","2"
37,"N_1_2_2_1",0,"1","2","2","1"
37,"N_1_2_2_2",0,"1","2","2","2"
37,"N_1_2_3_1",0,"1","2","3","1"
37,"N_1_2_3_2",0,"1","2","3","2"
37,"N_1_2_4_1",0,"1","2","4","1"
37,"N_1_2_4_2",0,"1","2","4","2"
37,"N_2_1_1_1",0,"2","1","1","1"
37,"N_2_1_1_2",0,"2","1","1","2"
37,"N_2_1_2_1",0.660041577575697,"2","1","2","1"
37,"N_2_1_2_2",1.26797866805081,"2","1","2","2"
37,"N_2_1_3_1",0.319064459669547,"2","1","3","1"
37,"N_2_1_3_2",0.454348592431847,"2","1","3","2"
37,"N_2_1_4_1",0,"2","1","4","1"
37,"N_2_1_4_2",0,"2","1","4","2"
37,"N_2_2_1_1",0,"2","2","1","1"
37,"N_2_2_1_2",0,"2","2","1","2"
37,"N_2_2_2_1",0,"2","2","2","1"
37,"N_2_2_2_2",0,"2","2","2","2"
37,"N_2_2_3_1",0,"2","2","3","1"
37,"N_2_2_3_2",0,"2","2","3","2"
37,"N_2_2_4_1",0,"2","2","4","1"
37,"N_2_2_4_2",0,"2","2","4","2"
37,"N_3_1_1_1",1856.02231703874,"3","1","1","1"
37,"N_3_1_1_2",1881.26768478348,"3","1","1","2"
37,"N_3_1_2_1",55.8131423834147,"3","1","2","1"
37,"N_3_1_2_2",105.131216771776,"3","1","2","2"
37,"N_3_1_3_1",17.4094236499908,"3","1","3","1"
37,"N_3_1_3_2",24.7375714537499,"3","1","3","2"
37,"N_3_1_4_1",0,"3","1","4","1"
37,"N_3_1_4_2",0,"3","1","4","2"
37,"N_3_2_1_1",71.3113455144685,"3","2","1","1"
37,"N_3_2_1_2",72.2813129148377,"3","2","1","2"
37,"N_3_2_2_1",2.15030652094058,"3","2","2","1"
37,"N_3_2_2_2",4.05065584336437,"3","2","2","2"
37,"N_3_2_3_1",0.670897342354382,"3","2","3","1"
37,"N_3_2_3_2",0.953311853117961,"3","2","3","2"
37,"N_3_2_4_1",0,"3","2","4","1"
37,"N_3_2_4_2",0,"3","2","4","2"
37,"N_4_1_1_1",32328.3456017529,"4","1","1","1"
37,"N_4_1_1_2",32835.0122254337,"4","1","1","2"
37,"N_4_1_2_1",1159.53033071367,"4","1","2","1"
37,"N_4_1_2_2",2182.85555958954,"4","1","2","2"
37,"N_4_1_3_1",414.864403767424,"4","1","3","1"
37,"N_4_1_3_2",587.403080348974,"4","1","3","2"
37,"N_4_1_4_1",0,"4","1","4","1"
37,"N_4_1_4_2",0,"4","1","4","2"
37,"N_4_2_1_1",1242.02257545688,"4","2","1","1"
37,"N_4_2_1_2",1261.57578197917,"4","2","1","2"
37,"N_4_2_2_1",44.8860474557252,"4","2","2","1"
37,"N_4_2_2_2",84.5444290858487,"4","2","2","2"
37,"N_4_2_3_1",16.1706194314509,"4","2","3","1"
37,"N_4_2_3_2",22.9041050803745,"4","2","3","2"
37,"N_4_2_4_1",0,"4","2","4","1"
37,"N_4_2_4_2",0,"4","2","4","2"
37,"N_5_1_1_1",0,"5","1","1","1"
37,"N_5_1_1_2",0,"5","1","1","2"
37,"N_5_1_2_1",1.767948120782,"5","1","2","1"
37,"N_5_1_2_2",3.37357299413016,"5","1","2","2"
37,"N_5_1_3_1",0.72590615775875,"5","1","3","1"
37,"N_5_1_3_2",1.02959856886216,"5","1","3","2"
37,"N_5_1_4_1",0,"5","1","4","1"
37,"N_5_1_4_2",0,"5","1","4","2"
37,"N_5_2_1_1",0,"5","2","1","1"
37,"N_5_2_1_2",0,"5","2","1","2"
37,"N_5_2_2_1",0,"5","2","2","1"
37,"N_5_2_2_2",0,"5","2","2","2"
37,"N_5_2_3_1",0,"5","2","3","1"
37,"N_5_2_3_2",0,"5","2","3","2"
37,"N_5_2_4_1",0,"5","2","4","1"
37,"N_5_2_4_2",0,"5","2","4","2"
37,"N_6_1_1_1",201.092803812136,"6","1","1","1"
37,"N_6_1_1_2",203.831003287985,"6","1","1","2"
37,"N_6_1_2_1",25.1722963206622,"6","1","2","1"
37,"N_6_1_2_2",48.1887446502546,"6","1","2","2"
37,"N_6_1_3_1",16.9788162433566,"6","1","3","1"
37,"N_6_1_3_2",24.1381345038777,"6","1","3","2"
37,"N_6_1_4_1",0,"6","1","4","1"
37,"N_6_1_4_2",0,"6","1","4","2"
37,"N_6_2_1_1",7.72616687019065,"6","2","1","1"
37,"N_6_2_1_2",7.83151667453062,"6","2","1","2"
37,"N_6_2_2_1",0.96229186922591,"6","2","2","1"
37,"N_6_2_2_2",1.8416506190285,"6","2","2","2"
37,"N_6_2_3_1",0.64563934930264,"6","2","3","1"
37,"N_6_2_3_2",0.917737645550487,"6","2","3","2"
37,"N_6_2_4_1",0,"6","2","4","1"
37,"N_6_2_4_2",0,"6","2","4","2"
37,"N_7_1_1_1",828.293517569346,"7","1","1","1"
37,"N_7_1_1_2",841.744671582599,"7","1","1","2"
37,"N_7_1_2_1",62.7567096768271,"7","1","2","1"
37,"N_7_1_2_2",122.712943023854,"7","1","2","2"
37,"N_7_1_3_1",46.0898148033127,"7","1","3","1"
37,"N_7_1_3_2",66.034258021913,"7","1","3","2"
37,"N_7_1_4_1",0,"7","1","4","1"
37,"N_7_1_4_2",0,"7","1","4","2"
37,"N_7_2_1_1",31.8235562664262,"7","2","1","1"
37,"N_7_2_1_2",32.3412007021556,"7","2","1","2"
37,"N_7_2_2_1",2.40385141345452,"7","2","2","1"
37,"N_7_2_2_2",4.69942979482274,"7","2","2","2"
37,"N_7_2_3_1",1.75844117568013,"7","2","3","1"
37,"N_7_2_3_2",2.51916245632132,"7","2","3","2"
37,"N_7_2_4_1",0,"7","2","4","1"
37,"N_7_2_4_2",0,"7","2","4","2"
37,"N_8_1_1_1",0,"8","1","1","1"
37,"N_8_1_1_2",0,"8","1","1","2"
37,"N_8_1_2_1",6.88292521290453,"8","1","2","1"
37,"N_8_1_2_2",13.8849575496496,"8","1","2","2"
37,"N_8_1_3_1",4.83715032520818,"8","1","3","1"
37,"N_8_1_3_2",7.00836225199075,"8","1","3","2"
37,"N_8_1_4_1",0,"8","1","4","1"
37,"N_8_1_4_2",0,"8","1","4","2"
37,"N_8_2_1_1",0,"8","2","1","1"
37,"N_8_2_1_2",0,"8","2","1","2"
37,"N_8_2_2_1",0,"8","2","2","1"
37,"N_8_2_2_2",0,"8","2","2","2"
37,"N_8_2_3_1",0,"8","2","3","1"
37,"N_8_2_3_2",0,"8","2","3","2"
37,"N_8_2_4_1",0,"8","2","4","1"
37,"N_8_2_4_2",0,"8","2","4","2"
38,"N_1_1_1_1",9675.13559382269,"1","1","1","1"
38,"N_1_1_1_2",9747.4267736834,"1","1","1","2"
